Video ID,Video Title,Publish Date,View Count,Like Count,Dislike Count,Like-dislike Ratio
jqLaZF780Sk,Cheese Spinach Quesadilla Recipe- Britannia Cheese,2018-01-26T08:35:48Z,1779388,50,8,6.25
T0yUhiD4wNs,"Tenki Réka vagyok, színésznő",2018-06-07T13:50:24Z,239943,27,4,6.75
56gOtjV4KFk,i2i Optical | Montir Kado,2018-12-08T04:38:14Z,63896,17,1,17
DcWBrhYvtSA,GAIN CITY'S NEW HOMEOWNERS GROUP BUY (With Glenn Ong and The Flying Dutchman),2018-12-13T03:30:55Z,50125,6,0,
pX_PqS0AMLk,Delicious Everything bagel spread made with NEW Country Crock with Sunflower Oil,2018-09-26T21:23:28Z,133965,,,
uu50tUtrks4,American Leather Comfort Sleeper vs. Competition - Part 2,2018-02-28T15:04:00Z,50416,9,1,9
VxzcAEEvmHY,Для тебе тільки кращі інгредієнти з усього світу,2018-03-12T14:42:27Z,1459568,33,6,5.5
bVizqajn2S0,"Bánh rán socola sốt táo khiến bé ""mê mệt"" | TodayTV",2018-04-02T09:08:21Z,11803,56,3,18.67
Mr9d_zWH_2s,AxionRent Capítulo 07,2018-07-10T15:15:05Z,104731,927,21,44.14
XLdsG5gDsaw,La Felicità Non è Una Truffa - Episodio 3,2018-12-12T08:32:22Z,614432,126,31,4.06
5UKXzKfyjZA,❅ Recette de Bûche de Noël Café Noisette ❅,2018-11-20T18:19:28Z,152573,5902,98,60.22
QeJ1YCrhIYw,Léa Elui apprend à cuisiner un tiramisu à la fraise avec Claire de Marmiton,2018-07-11T14:12:47Z,1031947,29280,581,50.4
NARlZ1vtvvQ,Bowl Energético con Avena,2018-12-21T16:26:34Z,216275,451,8,56.38
0CNd_TSyqeU,Rehabilitación de prótesis de cadera - Primera fase. Fisioterapia Logroño,2018-05-15T05:53:09Z,126461,1853,110,16.85
2x5sZF5jwKk,🌰 DÔMES façon FERRERO ROCHERS 🌰,2018-11-24T14:00:00Z,75182,3390,31,109.35
